iter	Passed	Remaining
736	10744	3834
737	10761	3820
738	10769	3803
739	10785	3789
740	10805	3776
741	10823	3763
742	10836	3748
743	10850	3733
744	10863	3718
745	10876	3703
746	10888	3687
747	10897	3671
748	10908	3655
749	10920	3640
750	10933	3624
751	10945	3609
752	10957	3594
753	10962	3576
754	10979	3562
755	10998	3549
756	11012	3534
757	11022	3519
758	11035	3504
759	11049	3489
760	11062	3474
761	11075	3459
762	11087	3444
763	11100	3428
764	11119	3415
765	11138	3402
766	11156	3389
767	11174	3375
768	11191	3361
769	11209	3348
770	11226	3334
771	11245	3321
772	11264	3308
773	11282	3294
774	11299	3280
775	11308	3264
776	11314	3247
777	11327	3232
778	11346	3218
779	11352	3202
780	11368	3187
781	11373	3170
782	11384	3155
783	11397	3140
784	11409	3124
785	11418	3108
786	11431	3093
787	11443	3078
788	11455	3063
789	11468	3048
790	11481	3033
791	11495	3019
792	11511	3004
793	11532	2992
794	11551	2978
795	11568	2964
796	11584	2950
797	11600	2936
798	11611	2920
799	11626	2906
800	11642	2892
801	11657	2878
802	11734	2878
803	11754	2865
804	11769	2851
805	11784	2836
806	11798	2821
807	11816	2807
808	11829	2792
809	11842	2777
810	11855	2762
811	11860	2746
812	11865	2729
813	11877	2714
814	11890	2699
815	11903	2684
816	11916	2669
817	11923	2652
818	11939	2638
819	11957	2624
820	11971	2610
821	11985	2595
822	11998	2580
823	12010	2565
824	12024	2550
825	12037	2535
826	12048	2520
827	12060	2505
828	12074	2490
829	12090	2476
830	12110	2462
831	12128	2449
832	12137	2433
833	12155	2419
834	12173	2405
835	12189	2391
836	12206	2377
837	12224	2363
838	12244	2349
839	12261	2335
840	12280	2321
841	12297	2307
842	12303	2291
843	12322	2277
844	12339	2263
845	12354	2248
846	12368	2234
847	12381	2219
848	12394	2204
849	12419	2191
850	12425	2175
851	12438	2160
852	12451	2145
853	12463	2130
854	12481	2116
855	12497	2102
856	12512	2087
857	12527	2073
858	12540	2058
859	12549	2042
860	12562	2028
861	12579	2013
862	12592	1999
863	12606	1984
864	12615	1968
865	12628	1954
866	12641	1939
867	12654	1924
868	12667	1909
869	12678	1894
870	12759	1889
871	12777	1875
872	12794	1861
873	12811	1846
874	12827	1832
875	12843	1818
876	12860	1803
877	12881	1789
878	12900	1775
879	12916	1761
880	12934	1747
881	12951	1732
882	12969	1718
883	12985	1704
884	13000	1689
885	13014	1674
886	13023	1659
887	13040	1644
888	13057	1630
889	13073	1615
890	13089	1601
891	13102	1586
892	13119	1572
893	13134	1557
894	13147	1542
895	13160	1527
896	13181	1513
897	13200	1499
898	13219	1485
899	13238	1470
900	13257	1456
901	13277	1442
902	13297	1428
903	13316	1414
904	13334	1399
905	13352	1385
906	13369	1370
907	13384	1356
908	13390	1340
909	13403	1325
910	13420	1311
911	13436	1296
912	13452	1281
913	13460	1266
914	13475	1251
915	13489	1237
916	13502	1222
917	13514	1207
918	13529	1192
919	13545	1177
920	13558	1163
921	13565	1147
922	13578	1132
923	13591	1117
924	13610	1103
925	13627	1089
926	13642	1074
927	13656	1059
928	13670	1044
929	13683	1029
930	13698	1015
931	13911	1015
932	13933	1000
933	13952	985
934	13966	970
935	13980	955
936	13993	940
937	14006	925
938	14021	910
939	14034	895
940	14047	880
941	14060	865
942	14072	850
943	14086	835
944	14104	820
945	14119	805
946	14134	791
947	14147	776
948	14160	760
949	14172	745
950	14184	730
951	14197	715
952	14209	700
953	14221	685
954	14234	670
955	14246	655
956	14259	640
957	14271	625
958	14289	610
959	14307	596
960	14325	581
961	14343	566
962	14362	551
963	14368	536
964	14387	521
965	14404	506
966	14421	492
967	14438	477
968	14456	462
969	14471	447
970	14486	432
971	14503	417
972	14519	402
973	14533	387
974	14546	372
975	14559	358
976	14566	342
977	14577	327
978	14590	312
979	14602	298
980	14614	283
981	14628	268
982	14644	253
983	14665	238
984	14684	223
985	14701	208
986	14717	193
987	14733	178
988	14749	164
989	14766	149
990	14781	134
991	14797	119
992	14813	104
993	14832	89
994	14905	74
995	14936	59
996	14952	44
997	14969	29
998	14982	14
999	14995	0
